service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
2,609,8,0.084818678,0.056808536,0,131.964467,
3,762,4,0.042409339,0.034085122,0,58.14285714,
4,1299,8,0.084818678,0.085212805,0,109.4526749,
5,1135,8,0.084818678,0.056808536,0,38.06896552,
6,1211,4,0.042409339,0.034085122,0,30.61538462,
7,931,4,0.042409339,0.034085122,0,36.87671233,
8,658,8,0.084818678,0.056808536,0,25.48717949,
9,383,4,0.042409339,0.034085122,0,11,
10,409,8,0.084818678,0.056808536,0,3,
11,717,4,0.042409339,0.034085122,0,154.5287356,
12,1260,8,0.084818678,0.056808536,0,91.0867052,
14,990,8,0.084818678,0.056808536,54,46.76190476,
15,1193,4,0.042409339,0.034085122,54,65.31111111,
16,373,4,0.042409339,0.034085122,54,93.73684211,
17,192,4,0.042409339,0.034085122,54,23.92307692,
18,937,4,0.042409339,0.034085122,54,13,
19,700,8,0.169637357,0.056808536,54,32.1875,
20,890,4,0.042409339,0.034085122,54,121.3564356,
22,813,4,0.042409339,0.034085122,54,140.5714286,
23,1021,4,0.042409339,0.034085122,77,40.61904762,
24,39,4,0.042409339,0.034085122,77,67.69491525,
25,683,4,0.042409339,0.034085122,77,90.21311475,
26,765,8,0.084818678,0.068170244,77,116.8507463,
27,1252,4,0.042409339,0.034085122,77,139.2816901,
28,102,8,0.084818678,0.085212805,77,166.8695652,
29,120,8,0.084818678,0.056808536,77,30.92307692,
30,1249,4,0.042409339,0.034085122,77,25.82352941,
31,1209,4,0.042409339,0.034085122,77,22.47368421,
32,1135,4,0.042409339,0.034085122,77,36.72727273,
33,1293,8,0.084818678,0.056808536,77,39.4,
35,162,8,0.084818678,0.056808536,77,32.92307692,
36,1207,4,0.042409339,0.034085122,77,36.16666667,
37,202,8,0.084818678,0.056808536,77,53,
38,935,4,0.042409339,0.034085122,77,52,
39,599,4,0.042409339,0.034085122,77,58,
40,624,16,0.169637357,0.113617073,77,51,
41,600,4,0.042409339,0.034085122,77,49,
42,105,8,0.084818678,0.056808536,95,112.3529412,
43,54,8,0.084818678,0.085212805,95,142.7649402,
44,1100,8,0.084818678,0.085212805,95,23.5,
45,158,4,0.042409339,0.045446829,95,21.34782609,
46,316,8,0.084818678,0.056808536,95,45.7,
47,1207,4,0.042409339,0.034085122,95,26.72222222,
48,1071,4,0.042409339,0.034085122,95,13.625,
49,9,16,0.169637357,0.045446829,95,28.70707071,
50,568,8,0.084818678,0.045446829,95,92.8974359,
51,587,8,0.084818678,0.068170244,95,29.66666667,
52,609,4,0.042409339,0.034085122,95,40,
53,815,4,0.042409339,0.034085122,95,62.98795181,
54,878,4,0.042409339,0.034085122,128,52.25,
55,735,4,0.042409339,0.034085122,128,71.37168142,
56,707,8,0.169637357,0.056808536,128,78,
57,797,16,0.318070044,0.113617073,157,25.85714286,
58,1278,4,0.042409339,0.034085122,157,67.59701493,
59,216,8,0.084818678,0.068170244,157,35.50847458,
60,183,4,0.042409339,0.034085122,157,1,
62,829,4,0.042409339,0.034085122,157,5,
63,297,4,0.042409339,0.034085122,157,21,
64,236,8,0.084818678,0.056808536,178,86.78787879,
65,593,4,0.042409339,0.034085122,178,33,
66,92,4,0.042409339,0.034085122,178,187.6976744,
67,76,4,0.042409339,0.034085122,249,23.59,
68,1299,4,0.042409339,0.034085122,249,3,
69,913,8,0.084818678,0.056808536,249,3,
70,1116,8,0.084818678,0.056808536,249,4,
71,95,4,0.042409339,0.034085122,249,4,
72,1148,4,0.042409339,0.034085122,249,4,
73,1069,4,0.042409339,0.034085122,249,3,
74,1234,8,0.084818678,0.056808536,249,4,
75,620,4,0.042409339,0.034085122,249,10.5,
76,88,4,0.042409339,0.034085122,249,9,
77,1242,4,0.042409339,0.034085122,249,56.94736842,
78,399,4,0.042409339,0.034085122,250,45.176,
79,789,8,0.084818678,0.068170244,250,3,
80,760,8,0.084818678,0.045446829,250,3,
81,255,4,0.042409339,0.034085122,250,3,
82,591,8,0.169637357,0.056808536,250,3,
83,249,4,0.042409339,0.034085122,250,4,
84,119,4,0.042409339,0.034085122,250,3,
86,1208,8,0.084818678,0.056808536,250,3,
87,927,4,0.042409339,0.034085122,250,9.5,
88,958,4,0.042409339,0.034085122,250,8,
89,239,8,0.084818678,0.056808536,250,102.1940299,
90,571,4,0.042409339,0.034085122,250,3,
91,346,4,0.042409339,0.034085122,250,12.5,
92,1268,16,0.169637357,0.113617073,250,2,
93,13,8,0.084818678,0.056808536,250,3,
94,396,4,0.042409339,0.034085122,250,3,
95,610,8,0.084818678,0.045446829,250,3,
97,735,8,0.084818678,0.056808536,250,3,
98,35,8,0.084818678,0.056808536,250,3,
99,1059,4,0.042409339,0.034085122,250,9.5,
100,963,8,0.084818678,0.068170244,250,9,
101,340,4,0.042409339,0.034085122,253,3,
102,1232,8,0.084818678,0.056808536,253,11.5,
103,740,16,0.254456035,0.113617073,253,7.5,
104,1175,4,0.042409339,0.034085122,253,7.5,
105,1280,8,0.084818678,0.034085122,253,7,
106,810,8,0.084818678,0.085212805,253,8.5,
107,1063,4,0.042409339,0.034085122,253,3,
108,43,4,0.042409339,0.034085122,253,3,
109,229,4,0.042409339,0.034085122,253,3,
110,1222,8,0.169637357,0.056808536,253,3,
111,1011,4,0.042409339,0.034085122,253,3,
112,872,8,0.084818678,0.085212805,253,3,
113,759,4,0.042409339,0.034085122,253,9.5,
114,282,8,0.084818678,0.113617073,253,7.5,
115,565,8,0.084818678,0.056808536,257,35.858,
116,1173,8,0.084818678,0.056808536,257,3,
117,823,4,0.042409339,0.034085122,257,3,
118,381,8,0.169637357,0.056808536,257,3,
119,846,8,0.084818678,0.056808536,257,3,
120,814,4,0.042409339,0.034085122,257,3,
121,122,8,0.084818678,0.056808536,257,3,
122,613,8,0.084818678,0.056808536,257,3,
123,1257,8,0.169637357,0.056808536,257,9,
124,314,4,0.042409339,0.034085122,257,12.5,
125,1122,8,0.169637357,0.056808536,257,62.81777778,
126,560,4,0.042409339,0.034085122,259,32.91823899,
127,971,8,0.169637357,0.056808536,259,17.48101266,
128,187,4,0.042409339,0.034085122,259,30,
129,734,8,0.084818678,0.056808536,259,35.06918239,
130,841,8,0.084818678,0.056808536,263,34.13095238,
131,717,4,0.042409339,0.034085122,263,59.18918919,
132,1135,4,0.042409339,0.034085122,263,67,
133,818,4,0.042409339,0.034085122,272,26.25,
134,400,4,0.042409339,0.034085122,272,77.46218487,
135,284,4,0.042409339,0.034085122,281,139.7472527,
136,276,4,0.042409339,0.034085122,281,61.16666667,
137,665,8,0.084818678,0.085212805,281,59,
138,185,8,0.084818678,0.056808536,281,11,
139,942,4,0.042409339,0.034085122,281,11,
140,566,4,0.042409339,0.034085122,281,3,
141,718,4,0.042409339,0.034085122,281,13.33333333,
142,970,4,0.042409339,0.034085122,281,58.80645161,
143,839,8,0.084818678,0.056808536,289,1,
144,651,8,0.084818678,0.085212805,289,2,
146,679,4,0.042409339,0.034085122,289,2,
147,363,8,0.169637357,0.056808536,289,2,
148,822,8,0.084818678,0.056808536,289,2,
149,772,4,0.042409339,0.034085122,289,154.0909091,
150,662,8,0.084818678,0.056808536,289,220.8974359,
151,1001,4,0.042409339,0.034085122,289,210.5121951,
152,104,8,0.084818678,0.056808536,289,264.6666667,
