service_id,user_loc,plan_cpu,plan_mem,plan_disk,submit_time,duration,e2e_latency,e2e_reliability
2,609,8,0.084818678,0.056808536,0,131.964467,10000,
3,762,4,0.042409339,0.034085122,0,58.14285714,5,
4,1299,8,0.084818678,0.085212805,0,109.4526749,10000,
5,1135,8,0.084818678,0.056808536,0,38.06896552,15,
6,1211,4,0.042409339,0.034085122,0,30.61538462,10,
7,931,4,0.042409339,0.034085122,0,36.87671233,10000,
8,658,8,0.084818678,0.056808536,0,25.48717949,10,
9,383,4,0.042409339,0.034085122,0,11,10000,
10,409,8,0.084818678,0.056808536,0,3,10000,
11,717,4,0.042409339,0.034085122,0,154.5287356,10000,
12,1260,8,0.084818678,0.056808536,0,91.0867052,50,
14,990,8,0.084818678,0.056808536,54,46.76190476,10000,
15,1193,4,0.042409339,0.034085122,54,65.31111111,5,
16,373,4,0.042409339,0.034085122,54,93.73684211,100,
17,192,4,0.042409339,0.034085122,54,23.92307692,10000,
18,937,4,0.042409339,0.034085122,54,13,15,
19,700,8,0.169637357,0.056808536,54,32.1875,5,
20,890,4,0.042409339,0.034085122,54,121.3564356,10,
22,813,4,0.042409339,0.034085122,54,140.5714286,10000,
23,1021,4,0.042409339,0.034085122,77,40.61904762,10000,
24,39,4,0.042409339,0.034085122,77,67.69491525,10000,
25,683,4,0.042409339,0.034085122,77,90.21311475,10000,
26,765,8,0.084818678,0.068170244,77,116.8507463,5,
27,1252,4,0.042409339,0.034085122,77,139.2816901,50,
28,102,8,0.084818678,0.085212805,77,166.8695652,10000,
29,120,8,0.084818678,0.056808536,77,30.92307692,10000,
30,1249,4,0.042409339,0.034085122,77,25.82352941,10000,
31,1209,4,0.042409339,0.034085122,77,22.47368421,10000,
32,1135,4,0.042409339,0.034085122,77,36.72727273,5,
33,1293,8,0.084818678,0.056808536,77,39.4,10000,
35,162,8,0.084818678,0.056808536,77,32.92307692,10000,
36,1207,4,0.042409339,0.034085122,77,36.16666667,10000,
37,202,8,0.084818678,0.056808536,77,53,10000,
38,935,4,0.042409339,0.034085122,77,52,100,
39,599,4,0.042409339,0.034085122,77,58,50,
40,624,16,0.169637357,0.113617073,77,51,15,
41,600,4,0.042409339,0.034085122,77,49,10000,
42,105,8,0.084818678,0.056808536,95,112.3529412,5,
43,54,8,0.084818678,0.085212805,95,142.7649402,10000,
44,1100,8,0.084818678,0.085212805,95,23.5,15,
45,158,4,0.042409339,0.045446829,95,21.34782609,10000,
46,316,8,0.084818678,0.056808536,95,45.7,100,
47,1207,4,0.042409339,0.034085122,95,26.72222222,10,
48,1071,4,0.042409339,0.034085122,95,13.625,10,
49,9,16,0.169637357,0.045446829,95,28.70707071,50,
50,568,8,0.084818678,0.045446829,95,92.8974359,10,
51,587,8,0.084818678,0.068170244,95,29.66666667,10000,
52,609,4,0.042409339,0.034085122,95,40,10000,
53,815,4,0.042409339,0.034085122,95,62.98795181,10000,
54,878,4,0.042409339,0.034085122,128,52.25,50,
55,735,4,0.042409339,0.034085122,128,71.37168142,10000,
56,707,8,0.169637357,0.056808536,128,78,10000,
57,797,16,0.318070044,0.113617073,157,25.85714286,10000,
58,1278,4,0.042409339,0.034085122,157,67.59701493,50,
59,216,8,0.084818678,0.068170244,157,35.50847458,5,
60,183,4,0.042409339,0.034085122,157,1,5,
62,829,4,0.042409339,0.034085122,157,5,10000,
63,297,4,0.042409339,0.034085122,157,21,10000,
64,236,8,0.084818678,0.056808536,178,86.78787879,10000,
65,593,4,0.042409339,0.034085122,178,33,15,
66,92,4,0.042409339,0.034085122,178,187.6976744,10000,
67,76,4,0.042409339,0.034085122,249,23.59,10,
68,1299,4,0.042409339,0.034085122,249,3,10000,
69,913,8,0.084818678,0.056808536,249,3,50,
70,1116,8,0.084818678,0.056808536,249,4,10,
71,95,4,0.042409339,0.034085122,249,4,5,
72,1148,4,0.042409339,0.034085122,249,4,10000,
73,1069,4,0.042409339,0.034085122,249,3,5,
74,1234,8,0.084818678,0.056808536,249,4,10000,
75,620,4,0.042409339,0.034085122,249,10.5,5,
76,88,4,0.042409339,0.034085122,249,9,10000,
77,1242,4,0.042409339,0.034085122,249,56.94736842,10000,
78,399,4,0.042409339,0.034085122,250,45.176,10000,
79,789,8,0.084818678,0.068170244,250,3,10000,
80,760,8,0.084818678,0.045446829,250,3,10000,
81,255,4,0.042409339,0.034085122,250,3,10000,
82,591,8,0.169637357,0.056808536,250,3,5,
83,249,4,0.042409339,0.034085122,250,4,100,
84,119,4,0.042409339,0.034085122,250,3,50,
86,1208,8,0.084818678,0.056808536,250,3,10000,
87,927,4,0.042409339,0.034085122,250,9.5,5,
88,958,4,0.042409339,0.034085122,250,8,10000,
89,239,8,0.084818678,0.056808536,250,102.1940299,100,
90,571,4,0.042409339,0.034085122,250,3,15,
91,346,4,0.042409339,0.034085122,250,12.5,50,
92,1268,16,0.169637357,0.113617073,250,2,10000,
93,13,8,0.084818678,0.056808536,250,3,5,
94,396,4,0.042409339,0.034085122,250,3,10000,
95,610,8,0.084818678,0.045446829,250,3,50,
97,735,8,0.084818678,0.056808536,250,3,10000,
98,35,8,0.084818678,0.056808536,250,3,5,
99,1059,4,0.042409339,0.034085122,250,9.5,10000,
100,963,8,0.084818678,0.068170244,250,9,15,
101,340,4,0.042409339,0.034085122,253,3,50,
102,1232,8,0.084818678,0.056808536,253,11.5,50,
103,740,16,0.254456035,0.113617073,253,7.5,5,
104,1175,4,0.042409339,0.034085122,253,7.5,10000,
105,1280,8,0.084818678,0.034085122,253,7,10000,
106,810,8,0.084818678,0.085212805,253,8.5,5,
107,1063,4,0.042409339,0.034085122,253,3,10000,
108,43,4,0.042409339,0.034085122,253,3,50,
109,229,4,0.042409339,0.034085122,253,3,100,
110,1222,8,0.169637357,0.056808536,253,3,10000,
111,1011,4,0.042409339,0.034085122,253,3,50,
112,872,8,0.084818678,0.085212805,253,3,10000,
113,759,4,0.042409339,0.034085122,253,9.5,15,
114,282,8,0.084818678,0.113617073,253,7.5,10000,
115,565,8,0.084818678,0.056808536,257,35.858,10000,
116,1173,8,0.084818678,0.056808536,257,3,100,
117,823,4,0.042409339,0.034085122,257,3,5,
118,381,8,0.169637357,0.056808536,257,3,10000,
119,846,8,0.084818678,0.056808536,257,3,10000,
120,814,4,0.042409339,0.034085122,257,3,15,
121,122,8,0.084818678,0.056808536,257,3,10,
122,613,8,0.084818678,0.056808536,257,3,100,
123,1257,8,0.169637357,0.056808536,257,9,10000,
124,314,4,0.042409339,0.034085122,257,12.5,10000,
125,1122,8,0.169637357,0.056808536,257,62.81777778,10000,
126,560,4,0.042409339,0.034085122,259,32.91823899,15,
127,971,8,0.169637357,0.056808536,259,17.48101266,10000,
128,187,4,0.042409339,0.034085122,259,30,10000,
129,734,8,0.084818678,0.056808536,259,35.06918239,5,
130,841,8,0.084818678,0.056808536,263,34.13095238,50,
131,717,4,0.042409339,0.034085122,263,59.18918919,10,
132,1135,4,0.042409339,0.034085122,263,67,10,
133,818,4,0.042409339,0.034085122,272,26.25,10000,
134,400,4,0.042409339,0.034085122,272,77.46218487,100,
135,284,4,0.042409339,0.034085122,281,139.7472527,100,
136,276,4,0.042409339,0.034085122,281,61.16666667,10000,
137,665,8,0.084818678,0.085212805,281,59,100,
138,185,8,0.084818678,0.056808536,281,11,100,
139,942,4,0.042409339,0.034085122,281,11,50,
140,566,4,0.042409339,0.034085122,281,3,10000,
141,718,4,0.042409339,0.034085122,281,13.33333333,10,
142,970,4,0.042409339,0.034085122,281,58.80645161,50,
143,839,8,0.084818678,0.056808536,289,1,5,
144,651,8,0.084818678,0.085212805,289,2,50,
146,679,4,0.042409339,0.034085122,289,2,10000,
147,363,8,0.169637357,0.056808536,289,2,10000,
148,822,8,0.084818678,0.056808536,289,2,10,
149,772,4,0.042409339,0.034085122,289,154.0909091,50,
150,662,8,0.084818678,0.056808536,289,220.8974359,10000,
151,1001,4,0.042409339,0.034085122,289,210.5121951,15,
152,104,8,0.084818678,0.056808536,289,264.6666667,10000,
153,1109,4,0.042409339,0.034085122,313,10.02040816,15,
154,348,4,0.042409339,0.034085122,313,59.71698113,100,
155,1304,4,0.042409339,0.034085122,313,3,10,
156,989,8,0.084818678,0.085212805,313,3,50,
157,1101,6,0.042409339,0.034085122,313,34.5,15,
158,172,8,0.169637357,0.056808536,313,3.1,5,
159,37,8,0.084818678,0.056808536,313,5.421052632,5,
160,1311,4,0.042409339,0.034085122,313,75.35849057,50,
161,306,8,0.084818678,0.085212805,315,10,10000,
162,1139,8,0.084818678,0.056808536,315,15.76190476,5,
163,30,8,0.169637357,0.056808536,315,3,50,
164,1145,4,0.042409339,0.056808536,315,3,100,
165,964,8,0.169637357,0.056808536,315,12.16666667,100,
166,1193,4,0.042409339,0.034085122,315,7.25,10,
167,1192,4,0.042409339,0.034085122,315,6.111111111,10000,
168,696,4,0.042409339,0.034085122,315,17,10,
169,567,4,0.042409339,0.034085122,333,22.546,100,
170,34,4,0.042409339,0.034085122,333,3,5,
171,415,8,0.084818678,0.056808536,333,3,5,
172,664,4,0.042409339,0.034085122,333,3,100,
173,1192,4,0.042409339,0.034085122,333,3,10,
174,582,4,0.042409339,0.034085122,333,3,10000,
175,1036,8,0.169637357,0.056808536,333,3,10000,
176,960,8,0.084818678,0.056808536,333,4,5,
177,333,4,0.042409339,0.034085122,333,11,10,
178,287,8,0.084818678,0.045446829,333,7,10000,
179,1163,8,0.084818678,0.056808536,333,76.8,10000,
180,1297,4,0.042409339,0.034085122,344,94.1509434,15,
181,101,8,0.084818678,0.085212805,344,163.2677165,50,
182,933,4,0.042409339,0.034085122,344,87.29411765,10,
183,756,4,0.042409339,0.034085122,344,54.88235294,5,
184,753,8,0.084818678,0.056808536,344,27.16666667,10000,
185,664,8,0.084818678,0.056808536,344,145.9275362,15,
186,729,4,0.042409339,0.034085122,348,56.20325203,10000,
187,563,4,0.042409339,0.034085122,348,77.224,10000,
188,343,4,0.042409339,0.034085122,348,35.86666667,10000,
190,340,4,0.042409339,0.034085122,348,11.6,10,
191,945,4,0.042409339,0.034085122,348,96,50,
192,674,8,0.084818678,0.056808536,348,100,10000,
193,114,4,0.042409339,0.034085122,348,36.954,10,
194,829,8,0.084818678,0.056808536,348,3,100,
195,562,16,0.318070044,0.113617073,348,2,10,
196,908,16,0.169637357,0.113617073,348,2,10000,
197,654,4,0.042409339,0.034085122,348,2,5,
198,910,8,0.169637357,0.056808536,348,2,15,
199,969,4,0.042409339,0.034085122,348,2,10,
200,1088,4,0.042409339,0.056808536,348,3,10000,
201,891,4,0.042409339,0.034085122,348,9,5,
202,826,4,0.042409339,0.034085122,348,13.5,100,
203,195,4,0.042409339,0.034085122,348,63.3492823,10,
204,882,4,0.042409339,0.034085122,359,3,10000,
205,913,8,0.084818678,0.056808536,359,3,10000,
206,320,4,0.042409339,0.034085122,359,2.082125604,10000,
207,771,4,0.042409339,0.034085122,361,2,10,
209,628,8,0.169637357,0.056808536,361,3,15,
210,564,4,0.042409339,0.034085122,361,2.068965517,15,
211,853,4,0.042409339,0.034085122,385,81.61705989,10000,
212,1170,8,0.169637357,0.056808536,385,185.237525,10000,
213,363,8,0.169637357,0.056808536,400,165.988,10000,
214,985,8,0.084818678,0.068170244,400,2,5,
215,37,4,0.042409339,0.034085122,400,7.5,10,
216,733,4,0.042409339,0.034085122,400,7.5,10000,
217,1209,4,0.042409339,0.034085122,400,9,10000,
218,693,8,0.169637357,0.056808536,400,8,10000,
219,988,8,0.084818678,0.056808536,400,4,10,
220,572,4,0.042409339,0.034085122,400,2,15,
221,757,16,0.169637357,0.113617073,400,2,15,
222,30,4,0.042409339,0.034085122,400,4,10000,
223,818,4,0.042409339,0.034085122,400,2,5,
224,202,4,0.042409339,0.034085122,400,4,5,
225,79,4,0.042409339,0.034085122,400,9.5,10000,
226,873,4,0.042409339,0.034085122,400,10.5,10000,
227,781,4,0.042409339,0.034085122,400,224.019656,100,
228,762,16,0.318070044,0.113617073,412,11,50,
229,37,8,0.084818678,0.056808536,412,1.638297872,10000,
230,230,8,0.084818678,0.056808536,412,7.878980892,10000,
231,637,4,0.042409339,0.034085122,412,3,10000,
232,335,8,0.084818678,0.056808536,449,45.824,50,
234,625,16,0.169637357,0.113617073,449,2,10000,
235,589,8,0.084818678,0.068170244,449,3,10000,
236,1141,16,0.254456035,0.113617073,449,3,10000,
237,796,4,0.042409339,0.034085122,449,3,10,
238,108,8,0.084818678,0.085212805,449,2,50,
239,121,8,0.084818678,0.034085122,449,2,100,
240,322,4,0.042409339,0.034085122,449,3,50,
241,282,8,0.084818678,0.056808536,449,10.5,10000,
242,97,8,0.084818678,0.056808536,449,8.5,10,
243,332,4,0.042409339,0.034085122,449,79.65648855,10000,
244,212,8,0.084818678,0.068170244,451,79.10465116,10000,
245,566,8,0.169637357,0.056808536,451,118.581749,10000,
246,15,4,0.042409339,0.034085122,451,143.9555556,10000,
247,688,4,0.042409339,0.034085122,453,110.532,10000,
248,206,8,0.084818678,0.056808536,453,2,50,
249,1195,4,0.042409339,0.034085122,453,10,10000,
251,23,8,0.084818678,0.056808536,453,3,10000,
252,1236,4,0.042409339,0.034085122,453,2,10000,
253,855,4,0.042409339,0.034085122,453,2,5,
254,696,8,0.084818678,0.085212805,453,2,15,
255,72,4,0.042409339,0.034085122,453,2,10000,
256,415,4,0.042409339,0.034085122,453,3,10,
257,207,8,0.169637357,0.056808536,453,9.5,10000,
258,1224,8,0.084818678,0.056808536,453,9.5,10000,
259,729,16,0.169637357,0.113617073,453,157.4490862,10,
260,634,8,0.084818678,0.056808536,461,69.66666667,10000,
261,1275,4,0.042409339,0.034085122,461,92.90697674,10000,
262,555,8,0.084818678,0.056808536,461,44.21333333,10000,
263,1118,4,0.042409339,0.056808536,461,17.33333333,10000,
264,1006,4,0.042409339,0.034085122,461,126.5555556,15,
265,261,8,0.169637357,0.056808536,461,153,10000,
266,803,4,0.042409339,0.034085122,478,66.08474576,50,
267,313,4,0.042409339,0.034085122,478,173.6666667,5,
268,667,4,0.042409339,0.034085122,478,179,15,
269,8,8,0.084818678,0.085212805,492,84.06622517,100,
270,895,8,0.084818678,0.085212805,502,104.8050314,10000,
271,4,16,0.169637357,0.113617073,502,87.96774194,15,
272,839,4,0.042409339,0.034085122,505,104.9828571,10000,
273,1245,8,0.084818678,0.056808536,505,81.69198312,50,
274,629,16,0.318070044,0.113617073,505,38.33333333,10000,
275,1243,8,0.084818678,0.056808536,515,47.35135135,100,
276,586,8,0.084818678,0.056808536,515,75.15258856,5,
277,368,4,0.042409339,0.034085122,515,89,10000,
278,756,4,0.042409339,0.034085122,515,47.17391304,15,
279,738,4,0.042409339,0.034085122,515,13.66666667,10,
280,637,4,0.042409339,0.034085122,515,13,10000,
281,1304,8,0.084818678,0.113617073,515,18.5,5,
282,1085,4,0.042409339,0.034085122,515,33.65,50,
283,1221,4,0.042409339,0.034085122,515,13,10000,
284,1210,4,0.042409339,0.034085122,515,2,15,
285,871,4,0.042409339,0.034085122,515,88.66666667,10000,
286,917,4,0.042409339,0.034085122,515,13.33333333,10000,
287,702,4,0.042409339,0.034085122,515,19,10000,
288,947,4,0.042409339,0.034085122,539,116.3816254,10000,
289,661,4,0.042409339,0.034085122,539,130.9473684,10000,
290,25,4,0.042409339,0.034085122,539,65.58490566,5,
291,258,4,0.042409339,0.045446829,539,1.066298343,10,
292,385,4,0.042409339,0.034085122,539,98.89944134,10,
293,566,4,0.042409339,0.034085122,539,9,15,
294,692,8,0.169637357,0.056808536,553,25.594,50,
295,958,8,0.084818678,0.056808536,553,3,10000,
296,1084,8,0.084818678,0.056808536,553,3,100,
297,956,8,0.084818678,0.085212805,553,3,50,
298,678,4,0.042409339,0.034085122,553,3,10000,
299,1288,8,0.084818678,0.056808536,553,3,10000,
300,1272,8,0.084818678,0.056808536,553,3,10000,
301,249,4,0.053011674,0.034085122,553,5,50,
302,1280,4,0.042409339,0.034085122,553,10.5,10000,
303,96,8,0.084818678,0.085212805,553,9,15,
304,214,8,0.084818678,0.085212805,553,55.94736842,5,
305,5,16,0.169637357,0.113617073,637,20.188,10000,
306,935,4,0.042409339,0.034085122,637,3,100,
307,310,8,0.084818678,0.085212805,637,2,10000,
308,1118,16,0.169637357,0.113617073,637,4,5,
309,809,8,0.084818678,0.068170244,637,2,15,
310,633,8,0.084818678,0.056808536,637,2,50,
311,2,8,0.084818678,0.085212805,637,2,10000,
312,680,8,0.084818678,0.056808536,637,4,10000,
313,317,4,0.042409339,0.034085122,637,10,10,
314,241,4,0.042409339,0.034085122,637,8,10,
315,118,8,0.084818678,0.056808536,637,68.8,10000,
316,376,4,0.042409339,0.034085122,648,22.212,10000,
317,684,4,0.042409339,0.034085122,648,3,10000,
318,970,8,0.169637357,0.056808536,648,3,10000,
319,603,8,0.084818678,0.068170244,648,4,5,
321,245,16,0.318070044,0.113617073,648,3,10000,
322,599,4,0.042409339,0.034085122,648,3,50,
323,303,16,0.169637357,0.113617073,648,3,10000,
324,158,8,0.084818678,0.056808536,648,4,10000,
325,916,4,0.042409339,0.034085122,648,10,15,
326,86,8,0.084818678,0.056808536,648,8.5,10000,
327,96,8,0.169637357,0.056808536,648,30.41492537,10000,
328,889,4,0.042409339,0.034085122,653,11,10000,
329,1147,4,0.042409339,0.034085122,653,12.04761905,50,
330,319,4,0.042409339,0.034085122,653,23.86813187,50,
331,1250,4,0.042409339,0.034085122,653,14.92592593,10000,
332,1026,8,0.084818678,0.056808536,653,4.894736842,15,
333,31,8,0.169637357,0.056808536,653,8,10000,
334,954,4,0.042409339,0.034085122,653,4,10000,
335,1229,4,0.042409339,0.034085122,653,5,50,
336,1000,4,0.042409339,0.034085122,653,27.02197802,15,
337,37,8,0.169637357,0.056808536,653,26.98901099,5,
338,934,4,0.042409339,0.034085122,677,54.994,5,
339,1181,8,0.169637357,0.056808536,677,2,10000,
340,29,8,0.084818678,0.056808536,677,2,5,
341,600,4,0.042409339,0.034085122,677,2,10,
342,600,8,0.084818678,0.068170244,677,2,10000,
343,396,8,0.169637357,0.056808536,677,2,10000,
344,720,4,0.042409339,0.034085122,677,2,10,
345,857,4,0.042409339,0.034085122,677,3,15,
346,103,8,0.084818678,0.068170244,677,9,10000,
347,904,8,0.084818678,0.045446829,677,7,15,
348,1196,4,0.042409339,0.034085122,677,90.72625698,100,
349,68,16,0.318070044,0.113617073,680,305.28,10000,
350,405,4,0.042409339,0.034085122,680,554.0813953,10000,
351,1307,4,0.042409339,0.034085122,680,269,10000,
352,80,4,0.042409339,0.034085122,680,19,15,
353,843,4,0.042409339,0.034085122,680,17.9248497,10000,
354,117,8,0.084818678,0.045446829,686,174.3351303,15,
355,656,4,0.042409339,0.034085122,688,34.0877193,100,
356,252,8,0.084818678,0.056808536,688,78.59541985,50,
357,1037,8,0.084818678,0.085212805,688,90.76296296,10,
358,839,8,0.084818678,0.056808536,708,1.64893617,5,
359,398,4,0.042409339,0.034085122,708,10,5,
360,1243,8,0.084818678,0.045446829,712,3.085106383,10000,
361,641,4,0.042409339,0.034085122,712,84,15,
362,1185,4,0.042409339,0.034085122,716,1.723404255,10000,
363,1253,4,0.042409339,0.034085122,716,5,50,
364,341,4,0.042409339,0.034085122,743,7.75,50,
365,619,8,0.169637357,0.056808536,743,146,50,
366,670,4,0.042409339,0.034085122,748,120,10000,
367,737,8,0.084818678,0.056808536,748,2,15,
368,298,8,0.084818678,0.056808536,748,117,50,
369,1245,4,0.042409339,0.034085122,748,74,10000,
370,1236,4,0.042409339,0.034085122,748,1,10000,
371,341,4,0.042409339,0.034085122,748,4,50,
372,387,8,0.169637357,0.056808536,748,4,50,
373,621,16,0.169637357,0.113617073,748,92,15,
374,76,4,0.042409339,0.034085122,748,92,50,
