service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
6090,746,4,0.042409339,0.034085122,11228,30.25,
6092,884,4,0.042409339,0.034085122,11228,51.36363636,
6093,1091,8,0.084818678,0.085212805,11232,67.11111111,
6094,1119,4,0.042409339,0.056808536,11232,69.66666667,
6095,1174,4,0.042409339,0.034085122,11232,141.9655172,
6096,786,4,0.042409339,0.034085122,11253,8.5,
6098,570,4,0.042409339,0.034085122,11253,13,
6099,1146,4,0.042409339,0.034085122,11285,27,
6100,739,8,0.084818678,0.056808536,11285,25.125,
6101,360,4,0.042409339,0.034085122,11285,36.41176471,
6102,362,4,0.042409339,0.034085122,11287,28.96644295,
6103,36,8,0.084818678,0.056808536,11287,30,
6104,1089,4,0.042409339,0.056808536,11287,12,
6105,810,8,0.084818678,0.068170244,11287,5.286036036,
6106,918,4,0.042409339,0.034085122,11287,16,
6107,290,8,0.084818678,0.068170244,11287,12,
6108,741,4,0.042409339,0.034085122,11287,22.97752809,
6109,710,4,0.042409339,0.034085122,11287,31,
6110,649,8,0.084818678,0.056808536,11289,41,
6111,590,4,0.042409339,0.034085122,11289,28.85714286,
6112,616,8,0.127228017,0.085212805,11289,48.15942029,
6113,83,4,0.042409339,0.034085122,11290,16,
6114,54,4,0.042409339,0.034085122,11290,14,
6115,785,8,0.084818678,0.068170244,11290,4,
6116,165,8,0.169637357,0.056808536,11290,15,
6117,609,8,0.084818678,0.068170244,11290,4,
6118,40,8,0.169637357,0.056808536,11335,30,
6120,215,8,0.084818678,0.056808536,11335,1,
6121,269,4,0.042409339,0.034085122,11335,15,
6122,11,4,0.042409339,0.034085122,11335,9,
6123,694,8,0.084818678,0.068170244,11335,30,
6124,1251,8,0.084818678,0.034085122,11335,30,
6125,125,8,0.084818678,0.085212805,11335,20,
6126,342,4,0.042409339,0.034085122,11335,30,
6127,611,4,0.042409339,0.034085122,11335,30,
6128,54,16,0.318070044,0.113617073,11335,30,
6129,317,8,0.084818678,0.056808536,11335,30,
6130,749,4,0.042409339,0.034085122,11380,246.031746,
6131,858,4,0.042409339,0.034085122,11380,17.16666667,
6132,1191,4,0.042409339,0.034085122,11380,43.6779661,
6133,652,8,0.084818678,0.056808536,11380,20.66666667,
6134,714,4,0.042409339,0.034085122,11380,240.1355932,
6135,46,8,0.169637357,0.056808536,11383,48.42767296,
6136,699,4,0.042409339,0.034085122,11383,116.1698113,
6137,163,4,0.042409339,0.034085122,11399,10,
6138,266,4,0.042409339,0.034085122,11399,1.3,
6139,1301,4,0.042409339,0.034085122,11399,7.909090909,
6140,1119,4,0.042409339,0.034085122,11399,2,
6141,375,4,0.042409339,0.034085122,11402,25,
6142,224,4,0.042409339,0.034085122,11402,1,
6143,1173,8,0.169637357,0.056808536,11402,12,
6144,625,4,0.042409339,0.034085122,11402,6,
6145,1183,4,0.042409339,0.034085122,11402,25,
6146,738,8,0.084818678,0.056808536,11402,25,
6147,1044,4,0.042409339,0.034085122,11402,16,
6148,255,4,0.042409339,0.034085122,11402,25,
6149,855,16,0.318070044,0.113617073,11402,25,
6150,310,8,0.084818678,0.034085122,11402,25,
6151,46,8,0.084818678,0.056808536,11402,25,
6152,1302,8,0.084818678,0.056808536,11498,250.6777646,
6153,350,4,0.042409339,0.034085122,11498,2,
6154,374,4,0.042409339,0.045446829,11498,3,
6155,188,8,0.084818678,0.056808536,11498,27.85714286,
6156,1257,4,0.042409339,0.034085122,11498,66.12225705,
6157,568,4,0.042409339,0.034085122,11498,161.661442,
6159,251,4,0.042409339,0.034085122,11498,185,
6160,903,4,0.042409339,0.034085122,11498,186,
6161,1006,4,0.042409339,0.034085122,11498,3,
6162,762,4,0.042409339,0.034085122,11498,25.57142857,
6163,893,8,0.084818678,0.068170244,11498,61.89028213,
6164,1202,4,0.042409339,0.034085122,11498,215.5768025,
6165,333,4,0.042409339,0.034085122,11498,3,
6166,83,4,0.042409339,0.034085122,11498,453,
6167,766,8,0.084818678,0.056808536,11498,561.4086957,
6168,590,8,0.084818678,0.068170244,11498,395,
6169,596,8,0.084818678,0.056808536,11573,48.86577181,
6170,1100,4,0.042409339,0.034085122,11573,125.7309237,
6171,764,4,0.042409339,0.034085122,11590,17,
6172,127,8,0.084818678,0.068170244,11590,14,
6173,905,4,0.042409339,0.034085122,11590,6,
6174,98,8,0.084818678,0.056808536,11590,15,
6175,920,4,0.042409339,0.034085122,11590,6,
6176,707,4,0.042409339,0.045446829,11614,35,
6177,635,8,0.084818678,0.056808536,11614,3,
6178,618,4,0.042409339,0.034085122,11614,16,
6179,349,4,0.042409339,0.034085122,11614,8.2,
6180,219,8,0.169637357,0.056808536,11614,35,
6181,738,8,0.169637357,0.056808536,11614,35,
6182,330,4,0.042409339,0.034085122,11614,20,
6183,1238,8,0.084818678,0.056808536,11614,35,
6184,256,4,0.042409339,0.034085122,11614,35,
6185,299,8,0.084818678,0.056808536,11614,35,
6186,304,8,0.084818678,0.056808536,11614,35,
6187,692,4,0.042409339,0.034085122,11627,3,
6188,1101,4,0.042409339,0.034085122,11627,126.3768116,
6189,804,4,0.042409339,0.034085122,11627,6,
6190,844,8,0.084818678,0.085212805,11627,13,
6191,47,8,0.084818678,0.085212805,11627,137,
6192,113,8,0.084818678,0.085212805,11652,96.31034483,
6193,1091,8,0.084818678,0.056808536,11652,137.6551724,
6194,702,4,0.042409339,0.034085122,11652,142.7924528,
6195,69,4,0.042409339,0.034085122,11652,142.3584906,
6196,1007,8,0.169637357,0.056808536,11652,146.3962264,
6197,406,4,0.042409339,0.034085122,11652,146.6857143,
6198,168,4,0.042409339,0.034085122,11659,44.36363636,
6199,630,4,0.042409339,0.034085122,11744,47.8974359,
