service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
3051,853,8,0.084818678,0.056808536,5110,9.459770115,
3052,1265,4,0.042409339,0.034085122,5110,27.79310345,
3053,293,8,0.084818678,0.085212805,5110,34.1954023,
3054,773,4,0.042409339,0.034085122,5111,211.5189189,
3055,1117,8,0.084818678,0.056808536,5111,118.7692308,
3056,39,4,0.042409339,0.034085122,5111,33.19047619,
3057,1219,8,0.084818678,0.056808536,5112,2,
3058,122,8,0.084818678,0.056808536,5112,9.977011494,
3059,325,4,0.042409339,0.034085122,5112,64.07407407,
3060,888,4,0.042409339,0.034085122,5112,96.92307692,
3061,295,8,0.084818678,0.034085122,5115,12.39662447,
3062,588,4,0.042409339,0.034085122,5116,58.47698745,
3063,1006,4,0.042409339,0.034085122,5116,1,
3064,398,4,0.042409339,0.034085122,5116,3,
3065,269,4,0.042409339,0.034085122,5116,63.05020921,
3066,835,4,0.042409339,0.034085122,5122,353.4,
3067,266,4,0.042409339,0.034085122,5122,151.0804598,
3068,1204,4,0.053011674,0.034085122,5122,277,
3069,1094,4,0.042409339,0.034085122,5122,187,
3070,884,4,0.042409339,0.034085122,5122,201,
3071,1146,4,0.042409339,0.034085122,5122,212,
3072,1237,4,0.042409339,0.034085122,5122,229,
3073,723,4,0.042409339,0.034085122,5122,249,
3074,1073,4,0.042409339,0.056808536,5122,265,
3075,318,4,0.042409339,0.034085122,5122,280,
3076,72,4,0.042409339,0.034085122,5122,298,
3077,1037,4,0.042409339,0.034085122,5122,312,
3078,3,16,0.169637357,0.113617073,5122,197,
3079,414,4,0.042409339,0.034085122,5122,325,
3080,3,8,0.084818678,0.056808536,5122,336,
3081,1303,8,0.084818678,0.056808536,5122,339,
3082,857,4,0.042409339,0.034085122,5122,187.6666667,
3083,221,8,0.169637357,0.056808536,5122,204,
3084,606,4,0.042409339,0.034085122,5122,211,
3085,345,8,0.169637357,0.056808536,5122,215,
3086,1035,8,0.084818678,0.085212805,5122,199.4754098,
3087,1298,4,0.042409339,0.034085122,5122,206,
3088,769,8,0.084818678,0.068170244,5122,216,
3089,259,4,0.042409339,0.034085122,5122,224,
3090,412,4,0.042409339,0.034085122,5122,234,
3091,1270,6,0.042409339,0.034085122,5122,245,
3092,383,8,0.084818678,0.056808536,5122,256,
3093,572,4,0.042409339,0.034085122,5122,265,
3095,1065,4,0.042409339,0.034085122,5122,273,
3096,344,4,0.042409339,0.034085122,5122,33.66101695,
3097,346,8,0.169637357,0.056808536,5122,46.11023622,
3098,1044,4,0.042409339,0.034085122,5122,61.9068323,
3099,822,4,0.042409339,0.034085122,5122,17.33333333,
3100,1206,4,0.042409339,0.034085122,5122,15.8,
3101,1096,4,0.042409339,0.056808536,5122,23.88235294,
3102,1077,8,0.084818678,0.056808536,5122,21.80597015,
3103,655,4,0.042409339,0.034085122,5134,133.2986111,
3104,1062,8,0.084818678,0.085212805,5144,33.36363636,
3105,342,4,0.042409339,0.034085122,5144,14,
3106,1111,4,0.042409339,0.034085122,5144,26,
3107,774,8,0.169637357,0.056808536,5144,53.63636364,
3108,1258,8,0.084818678,0.056808536,5144,60.45454545,
3109,1220,8,0.084818678,0.056808536,5144,21,
3110,953,4,0.042409339,0.034085122,5144,20.14285714,
3111,965,8,0.084818678,0.085212805,5144,3.5,
3112,154,16,0.169637357,0.113617073,5144,12.28571429,
3113,389,8,0.084818678,0.056808536,5144,17.30383481,
3114,1298,4,0.053011674,0.034085122,5144,1,
3115,825,4,0.042409339,0.034085122,5144,55.85714286,
3116,936,4,0.042409339,0.034085122,5144,34.42857143,
3117,849,8,0.084818678,0.056808536,5144,4.333333333,
3118,382,8,0.084818678,0.056808536,5144,1,
3119,891,8,0.084818678,0.068170244,5206,73,
3120,166,4,0.042409339,0.034085122,5206,14.29442971,
3121,1227,4,0.042409339,0.034085122,5206,69,
3122,126,4,0.042409339,0.034085122,5206,71,
3123,688,4,0.042409339,0.034085122,5206,70,
3124,1131,4,0.042409339,0.034085122,5261,78.96825397,
3125,1101,4,0.042409339,0.034085122,5261,139.7008798,
3126,1211,4,0.042409339,0.034085122,5261,193.2672176,
3127,1133,8,0.084818678,0.056808536,5261,281.4052478,
3128,954,4,0.042409339,0.034085122,5264,112.1086957,
3129,165,4,0.042409339,0.034085122,5264,37.15384615,
3130,680,4,0.042409339,0.034085122,5284,322.2608696,
3131,899,16,0.169637357,0.113617073,5284,343.173913,
3132,291,4,0.042409339,0.034085122,5284,57.5,
3133,400,8,0.084818678,0.056808536,5284,72.45238095,
3134,166,4,0.042409339,0.034085122,5284,6,
3135,853,8,0.084818678,0.056808536,5284,65.875,
3136,1128,4,0.042409339,0.034085122,5284,272,
3137,1246,4,0.053011674,0.034085122,5284,6,
3138,1311,4,0.042409339,0.034085122,5284,304.2857143,
3139,120,4,0.042409339,0.034085122,5286,9,
3140,1189,8,0.084818678,0.056808536,5286,8,
3141,179,8,0.084818678,0.056808536,5286,2,
3142,1209,8,0.169637357,0.056808536,5286,9,
3143,579,4,0.042409339,0.034085122,5286,2,
3144,1154,8,0.169637357,0.056808536,5296,271.3333333,
3145,673,4,0.042409339,0.034085122,5296,286,
3146,626,4,0.042409339,0.034085122,5296,257.76,
3147,1033,4,0.042409339,0.034085122,5296,2,
3148,315,8,0.084818678,0.056808536,5296,4,
3149,1133,4,0.042409339,0.034085122,5296,46.5984252,
3150,1062,16,0.169637357,0.113617073,5296,2,
3151,104,8,0.084818678,0.068170244,5296,262,
3152,126,8,0.084818678,0.045446829,5296,4,
3153,1220,8,0.084818678,0.056808536,5296,269,
3154,1218,8,0.084818678,0.056808536,5296,253,
3155,835,4,0.042409339,0.034085122,5312,42.22099448,
3156,1253,4,0.042409339,0.034085122,5312,79.34146341,
3157,672,8,0.169637357,0.056808536,5317,119.4137931,
3158,407,4,0.042409339,0.034085122,5317,5,
3159,86,8,0.169637357,0.056808536,5317,63,
3160,160,4,0.042409339,0.034085122,5317,30.07936508,
3161,1207,4,0.042409339,0.034085122,5317,63,
3162,44,4,0.042409339,0.034085122,5317,490.7346939,
3163,940,4,0.042409339,0.034085122,5379,30,
3164,174,8,0.084818678,0.113617073,5379,2,
3165,754,8,0.084818678,0.068170244,5379,13,
3166,843,4,0.042409339,0.034085122,5379,6,
3167,625,4,0.042409339,0.034085122,5379,30,
3168,693,4,0.042409339,0.034085122,5379,30,
3169,302,8,0.169637357,0.056808536,5379,19,
3170,329,4,0.042409339,0.034085122,5379,30,
3171,845,4,0.042409339,0.034085122,5379,30,
3172,261,4,0.042409339,0.034085122,5379,30,
3173,669,4,0.042409339,0.034085122,5379,30,
3174,1253,4,0.042409339,0.034085122,5423,50.47887324,
3175,941,4,0.042409339,0.045446829,5423,59.03614458,
3176,329,8,0.084818678,0.056808536,5423,25.71875,
3177,80,4,0.042409339,0.034085122,5423,10.76315789,
3178,333,4,0.042409339,0.034085122,5423,49.45454545,
3179,73,16,0.318070044,0.113617073,5429,1,
3180,841,8,0.084818678,0.085212805,5429,30.42857143,
3181,1287,4,0.042409339,0.034085122,5429,92.42857143,
3182,918,4,0.042409339,0.034085122,5429,110.0444444,
3183,54,8,0.127228017,0.085212805,5429,109,
3184,707,4,0.042409339,0.034085122,5429,109,
3185,383,4,0.042409339,0.034085122,5429,109.1428571,
3186,906,8,0.084818678,0.068170244,5429,109,
3187,579,4,0.042409339,0.034085122,5429,109,
3188,1237,4,0.042409339,0.034085122,5429,104,
3189,230,8,0.084818678,0.056808536,5429,104,
3190,1079,4,0.053011674,0.034085122,5429,99,
3191,789,4,0.042409339,0.034085122,5429,95.28571429,
3192,347,4,0.042409339,0.034085122,5476,3,
3193,346,8,0.084818678,0.085212805,5476,26.34343434,
3194,167,8,0.084818678,0.056808536,5556,35.83544304,
3195,660,4,0.042409339,0.034085122,5556,77.59770115,
3196,325,4,0.042409339,0.034085122,5556,86,
3197,177,4,0.042409339,0.034085122,5588,17.6,
3198,1206,4,0.042409339,0.034085122,5588,26.07936508,
3199,811,8,0.084818678,0.085212805,5589,6,
3200,682,8,0.084818678,0.056808536,5589,1,
3201,628,4,0.042409339,0.034085122,5589,2,
3202,1050,8,0.084818678,0.085212805,5589,2.6,
3203,28,4,0.042409339,0.034085122,5589,7,
3204,1179,8,0.169637357,0.056808536,5593,13,
3205,990,8,0.084818678,0.056808536,5593,11,
3206,365,8,0.169637357,0.056808536,5593,3,
3207,1207,4,0.042409339,0.034085122,5593,12,
3208,257,4,0.042409339,0.034085122,5593,3,
3209,1187,4,0.042409339,0.034085122,5596,3.6,
3210,592,8,0.169637357,0.056808536,5596,5,
3211,1311,8,0.169637357,0.056808536,5597,65.33596838,
3212,738,8,0.084818678,0.085212805,5597,127.7545126,
3213,975,4,0.042409339,0.034085122,5597,147.1081081,
3214,393,8,0.084818678,0.068170244,5597,128.1735849,
3215,707,4,0.042409339,0.034085122,5597,148.1578947,
3216,311,4,0.042409339,0.034085122,5599,229.6416667,
3217,1302,4,0.042409339,0.034085122,5602,67.48484848,
3218,113,8,0.084818678,0.056808536,5602,131.2091255,
3219,1194,4,0.042409339,0.034085122,5602,154.483871,
3220,958,8,0.084818678,0.056808536,5602,132.5177866,
3221,1241,4,0.042409339,0.034085122,5602,225.6923077,
3222,1239,4,0.042409339,0.034085122,5606,20.75,
3223,1023,8,0.084818678,0.056808536,5606,29,
3224,330,4,0.042409339,0.034085122,5608,128,
3225,70,4,0.042409339,0.034085122,5608,97,
3226,672,4,0.042409339,0.034085122,5608,107.8,
3227,1230,4,0.042409339,0.034085122,5608,5.4,
3228,657,4,0.042409339,0.034085122,5608,5.583333333,
3229,15,4,0.042409339,0.034085122,5608,24.84,
3230,1211,8,0.084818678,0.056808536,5608,20.33333333,
3231,1226,8,0.084818678,0.056808536,5608,2,
3232,127,8,0.084818678,0.085212805,5608,93,
3234,565,8,0.084818678,0.056808536,5608,22,
3235,570,4,0.042409339,0.034085122,5611,23,
3236,180,4,0.042409339,0.034085122,5614,57.5,
3237,67,4,0.042409339,0.034085122,5614,66.39310345,
